Jamie McGinn,28,LW,ARI,72,9,8,17,-23,23,9,0,0,2,6,2,0,116,7.8,948,13:10,18,116,1,2,33.3
Darren Helm,30,C,DET,50,8,9,17,-6,20,6,2,0,1,6,2,1,98,8.2,768,15:22,18,71,216,204,51.4
Torrey Mitchell,32,C,MTL,78,8,9,17,5,38,8,0,0,1,9,0,0,68,11.8,983,12:36,56,47,410,342,54.5
Miles Wood,21,LW,NJD,60,8,9,17,-21,86,6,2,0,0,7,2,0,105,7.6,771,12:51,26,68,1,1,50
Michael Matheson,22,D,FLA,81,7,10,17,-5,36,7,0,0,0,8,1,1,179,3.9,1705,21:03,118,69,1,0,100
Riley Nash,27,C,BOS,81,7,10,17,-1,14,6,0,1,2,8,0,2,125,5.6,1118,13:48,36,67,276,286,49.1
Joonas Donskoi,24,RW,SJS,61,6,11,17,-5,10,5,1,0,0,8,3,0,95,6.3,842,13:49,27,27,8,8,50
Nick Shore,24,C,LAK,70,6,11,17,-2,20,5,0,1,1,11,0,0,79,7.6,895,12:47,22,58,362,359,50.2
Brian Campbell,37,D,CHI,80,5,12,17,12,24,3,2,0,1,9,3,0,74,6.8,1474,18:26,83,43,0,0,
Marcus Kruger,26,C,CHI,70,5,12,17,7,34,5,0,0,0,12,0,0,83,6,981,14:01,62,31,357,370,49.1
Josh Manson,25,D,ANA,82,5,12,17,14,82,4,0,1,1,11,0,1,88,5.7,1527,18:38,79,227,0,0,
Austin Watson,25,LW,NSH,77,5,12,17,14,99,5,0,0,0,11,0,1,90,5.6,957,12:26,66,143,17,25,40.5
Chris Wideman,27,D,OTT,76,5,12,17,7,46,4,1,0,1,8,4,0,123,4.1,1061,13:58,68,68,0,0,
Jordie Benn,29,D,TOT,71,4,13,17,-4,28,4,0,0,1,10,2,1,68,5.9,1298,18:17,144,64,0,0,
Ron Hainsey,35,D,TOT,72,4,13,17,-8,21,3,0,1,1,11,0,2,71,5.6,1586,22:02,120,93,0,0,
Nikita Nesterov,23,D,TOT,48,4,13,17,0,24,3,1,0,0,12,1,0,63,6.3,782,16:17,21,84,0,0,
Mark Pysyk,25,D,FLA,82,4,13,17,0,10,4,0,0,0,13,0,0,86,4.7,1522,18:34,99,72,0,1,0
Nate Schmidt,25,D,WSH,60,3,14,17,22,16,3,0,0,0,13,0,1,60,5,929,15:29,37,51,0,0,
Cody Ceci,23,D,OTT,79,2,15,17,-11,20,2,0,0,0,12,1,2,143,1.4,1833,23:12,159,111,1,0,100
Erik Johnson,28,D,COL,46,2,15,17,-6,9,2,0,0,1,9,6,0,96,2.1,1016,22:05,98,87,0,0,
Connor Murphy,23,D,ARI,77,2,15,17,-13,45,1,0,1,1,15,0,0,81,2.5,1477,19:11,119,201,0,0,
Kevin Fiala,20,LW,NSH,54,11,5,16,1,18,11,0,0,1,5,0,0,114,9.6,730,13:31,14,44,0,0,
Viktor Stalberg,31,LW,TOT,75,11,5,16,-9,41,8,1,2,2,4,1,0,101,10.9,915,12:12,28,141,0,3,0
Adam Cracknell,31,RW,DAL,69,10,6,16,9,12,9,0,1,2,6,0,0,87,11.5,722,10:28,37,91,135,160,45.8
Dwight King,27,LW,TOT,80,9,7,16,-2,12,9,0,0,1,7,0,0,110,8.2,1153,14:24,28,120,4,12,25
Ryan White,28,C,TOT,65,9,7,16,-16,84,9,0,0,1,7,0,0,60,15,693,10:39,33,187,39,52,42.9
Zemgus Girgensons,23,C,BUF,75,7,9,16,-7,18,7,0,0,0,9,0,0,112,6.3,987,13:10,26,120,273,306,47.2
Brock McGinn,22,LW,CAR,57,7,9,16,-11,6,7,0,0,1,8,0,1,74,9.5,684,11:00,22,91,1,3,25
Brandon Carlo,20,D,BOS,82,6,10,16,9,59,5,0,1,0,10,0,0,88,6.8,1707,20:49,115,87,0,0,
Nick Cousins,23,C,PHI,60,6,10,16,-6,31,5,1,0,0,9,1,0,99,6.1,720,12:00,24,61,89,128,41
Tanner Kero,24,RW,CHI,47,6,10,16,15,8,6,0,0,0,10,0,0,60,10,634,13:29,51,41,209,262,44.4
Derek MacKenzie,35,C,FLA,82,6,10,16,-7,50,4,0,2,1,7,0,3,91,6.6,1030,12:34,45,192,386,386,50
Curtis McKenzie,25,LW,DAL,53,6,10,16,5,72,6,0,0,3,10,0,0,66,9.1,575,10:51,31,103,3,3,50
Alexander Burmistrov,25,C,TOT,49,5,11,16,-7,12,1,4,0,0,9,1,1,45,11.1,654,13:21,19,60,178,259,40.7
Trevor van Riemsdyk,25,D,CHI,58,5,11,16,17,29,5,0,0,2,11,0,0,73,6.8,1068,18:25,100,22,0,0,
Deryk Engelland,34,D,CGY,81,4,12,16,2,85,4,0,0,2,12,0,0,107,3.7,1485,18:20,134,135,1,0,100
Tom Kuhnhackl,25,RW,PIT,57,4,12,16,8,18,3,0,1,0,11,0,1,49,8.2,607,10:39,42,112,2,2,50
Dan Hamhuis,34,D,DAL,79,1,15,16,-7,23,0,1,0,0,13,0,2,83,1.2,1529,19:22,100,93,0,0,
Matt Calvert,27,LW,CBJ,65,10,5,15,-4,48,7,0,3,1,4,0,1,92,10.9,868,13:21,34,61,2,14,12.5
Kyle Brodziak,32,C,STL,69,8,7,15,2,27,8,0,0,2,7,0,0,55,14.5,773,11:12,39,56,323,330,49.5
Dale Weise,28,RW,PHI,64,8,7,15,1,39,7,1,0,2,6,1,0,94,8.5,824,12:53,24,135,3,0,100
Kyle Quincey,31,D,TOT,73,6,9,15,3,51,6,0,0,0,9,0,0,79,7.6,1306,17:54,96,95,0,0,
Chris VandeVelde,29,C,PHI,81,6,9,15,-5,16,6,0,0,0,9,0,0,69,8.7,936,11:34,60,114,24,20,54.5
Anthony Duclair,21,LW,ARI,58,5,10,15,-7,14,5,0,0,1,8,2,0,76,6.6,771,13:18,17,22,4,4,50
Ondrej Kase,21,RW,ANA,53,5,10,15,-1,18,5,0,0,2,10,0,0,77,6.5,625,11:47,14,42,1,6,14.3
Dan Girardi,32,D,NYR,63,4,11,15,8,16,3,0,1,3,10,0,1,56,7.1,1203,19:06,166,107,0,0,
Matt Benning,22,D,EDM,62,3,12,15,8,29,2,1,0,0,10,2,0,69,4.3,1030,16:37,64,111,0,0,
Joel Edmundson,23,D,STL,69,3,12,15,11,60,3,0,0,1,12,0,0,81,3.7,1226,17:46,95,122,0,0,
Michael Stone,26,D,TOT,64,3,12,15,0,32,2,1,0,0,8,4,0,81,3.7,1268,19:49,143,125,1,0,100
Jay Bouwmeester,33,D,STL,81,1,14,15,6,28,1,0,0,0,13,1,0,106,0.9,1815,22:24,111,67,0,0,
Brian Dumoulin,25,D,PIT,70,1,14,15,0,14,1,0,0,0,10,4,0,78,1.3,1438,20:33,99,113,0,0,
Benoit Pouliot,30,LW,EDM,67,8,6,14,-5,34,8,0,0,1,6,0,0,77,10.4,942,14:03,39,39,7,21,25
Nick Bjugstad,24,C,FLA,54,7,7,14,-19,22,6,1,0,1,5,2,0,91,7.7,710,13:09,9,72,186,205,47.6
Tim Schaller,26,C,BOS,59,7,7,14,-6,23,7,0,0,2,7,0,0,89,7.9,724,12:16,38,73,28,29,49.1
David Desharnais,30,C,TOT,49,6,8,14,4,12,6,0,0,1,6,2,0,46,13,610,12:28,15,5,170,162,51.2
Vinnie Hinostroza,22,LW,CHI,49,6,8,14,-1,17,6,0,0,2,8,0,0,76,7.9,587,11:59,19,31,68,103,39.8
Carl Soderberg,31,C,COL,80,6,8,14,-26,22,5,1,0,0,7,1,0,128,4.7,1076,13:27,42,34,365,337,52
Anthony DeAngelo,21,D,ARI,39,5,9,14,-13,37,3,2,0,1,3,6,0,60,8.3,667,17:06,48,31,0,0,
Kevin Bieksa,35,D,ANA,81,3,11,14,0,63,2,1,0,1,9,2,0,94,3.2,1519,18:45,100,173,0,0,
Luke Glendening,27,C,DET,74,3,11,14,-10,26,3,0,0,0,10,1,0,76,3.9,956,12:55,62,150,307,261,54
Travis Hamonic,26,D,NYI,49,3,11,14,-21,60,3,0,0,0,10,1,0,74,4.1,1002,20:27,108,58,0,0,
Matt Irwin,29,D,NSH,74,3,11,14,15,26,3,0,0,1,9,0,2,98,3.1,1204,16:16,121,115,0,0,
Kevin Klein,32,D,NYR,60,3,11,14,5,31,3,0,0,0,9,1,1,54,5.6,1058,17:38,123,135,0,0,
Andrej Sustr,26,D,TBL,80,3,11,14,-10,43,3,0,0,1,11,0,0,93,3.2,1407,17:35,102,45,0,1,0
Toby Enstrom,32,D,WPG,60,1,13,14,-7,42,0,0,1,0,7,6,0,46,2.2,1314,21:54,94,24,0,0,
Alex Petrovic,24,D,FLA,49,1,13,14,-1,79,1,0,0,0,13,0,0,55,1.8,889,18:09,55,106,0,0,
Paul Postma,27,D,WPG,65,1,13,14,3,15,1,0,0,0,13,0,0,50,2,706,10:51,42,36,0,0,
Brooks Orpik,36,D,WSH,79,0,14,14,32,48,0,0,0,0,14,0,0,93,0,1405,17:47,132,181,0,0,
Magnus Paajarvi,25,LW,STL,32,8,5,13,9,6,7,1,0,3,5,0,0,51,15.7,389,12:09,16,29,1,2,33.3
Matthew Nieto,24,LW,TOT,59,7,6,13,-12,8,7,0,0,1,5,0,1,85,8.2,881,14:55,34,40,2,4,33.3
Ryan Reaves,30,RW,STL,80,7,6,13,4,104,7,0,0,1,6,0,0,58,12.1,711,8:53,26,239,0,5,0
Lukas Sedlak,23,LW,CBJ,62,7,6,13,10,25,6,0,1,0,6,0,0,57,12.3,603,9:43,28,66,232,211,52.4
Oliver Bjorkstrand,21,RW,CBJ,26,6,7,13,4,6,6,0,0,2,7,0,0,55,10.9,366,14:05,9,14,1,0,100
Colin Miller,24,D,BOS,61,6,7,13,0,55,5,1,0,0,6,1,0,85,7.1,965,15:49,36,85,0,0,
Jordan Schroeder,26,C,MIN,37,6,7,13,5,0,6,0,0,0,7,0,0,37,16.2,362,9:47,15,29,19,21,47.5
